nm,n,k
381.203583,1.527125,0
382.375854,1.526902,0
383.555359,1.52668,0
384.742188,1.526459,0
385.936371,1.526238,0
387.138,1.526019,0
388.347107,1.525799,0
389.563812,1.525581,0
390.788177,1.525363,0
392.020233,1.525146,0
393.260071,1.524929,0
394.507813,1.524714,0
395.763489,1.524498,0
397.027161,1.524284,0
398.298981,1.52407,0
399.578918,1.523857,0
400.867126,1.523645,0
402.163696,1.523433,0
403.468658,1.523222,0
404.782135,1.523012,0
406.104156,1.522802,0
407.434875,1.522593,0
408.774323,1.522385,0
410.12262,1.522177,0
411.479828,1.52197,0
412.846039,1.521764,0
414.221375,1.521558,0
415.605896,1.521354,0
416.999695,1.521149,0
418.402893,1.520946,0
419.815521,1.520743,0
421.237732,1.520541,0
422.669617,1.520339,0
424.111328,1.520139,0
425.562836,1.519939,0
427.024353,1.519739,0
428.495941,1.519541,0
429.977722,1.519343,0
431.469788,1.519145,0
432.972229,1.518949,0
434.485168,1.518753,0
436.008698,1.518557,0
437.542969,1.518363,0
439.088043,1.518169,0
440.644104,1.517975,0
442.211243,1.517783,0
443.789551,1.517591,0
445.37915,1.5174,0
446.980225,1.517209,0
448.592834,1.51702,0
450.217102,1.51683,0
451.85318,1.516642,0
453.501129,1.516454,0
455.161224,1.516267,0
456.833496,1.516081,0
458.518127,1.515895,0
460.215179,1.51571,0
461.924896,1.515525,0
463.647308,1.515342,0
465.38266,1.515159,0
467.131042,1.514977,0
468.892578,1.514795,0
470.66748,1.514614,0
472.455872,1.514434,0
474.257904,1.514254,0
476.07373,1.514075,0
477.903503,1.513897,0
479.747406,1.51372,0
481.605621,1.513543,0
483.47821,1.513366,0
485.36554,1.513191,0
487.267517,1.513016,0
489.18457,1.512842,0
491.116699,1.512669,0
493.064148,1.512496,0
495.027161,1.512324,0
497.005859,1.512153,0
499.000397,1.511982,0
501.011047,1.511812,0
503.037933,1.511643,0
505.081299,1.511474,0
507.141357,1.511306,0
509.218262,1.511139,0
511.312256,1.510972,0
513.423523,1.510806,0
515.552368,1.510641,0
517.698853,1.510476,0
519.863342,1.510313,0
522.046021,1.510149,0
524.247009,1.509987,0
526.466736,1.509825,0
528.705322,1.509664,0
530.963013,1.509504,0
533.240051,1.509344,0
535.536621,1.509185,0
537.853149,1.509026,0
540.189819,1.508869,0
542.546875,1.508712,0
544.924622,1.508555,0
547.323242,1.5084,0
549.743103,1.508245,0
552.184448,1.50809,0
554.647583,1.507937,0
557.132751,1.507784,0
559.64032,1.507632,0
562.170593,1.50748,0
564.723816,1.507329,0
567.300354,1.507179,0
569.900513,1.50703,0
572.524536,1.506881,0
575.172974,1.506733,0
577.845947,1.506585,0
580.543823,1.506439,0
583.267151,1.506292,0
586.016052,1.506147,0
588.790894,1.506002,0
591.592285,1.505858,0
594.420471,1.505715,0
597.275757,1.505572,0
600.15863,1.50543,0
603.069458,1.505289,0
606.008667,1.505149,0
608.976685,1.505009,0
611.973938,1.504869,0
615.000793,1.504731,0
618.057739,1.504593,0
621.145264,1.504456,0
624.263794,1.504319,0
627.413757,1.504183,0
630.595703,1.504048,0
633.810059,1.503914,0
637.057312,1.50378,0
640.338074,1.503647,0
643.652771,1.503515,0
647.002014,1.503383,0
650.386292,1.503252,0
653.806091,1.503121,0
657.262085,1.502992,0
660.754822,1.502863,0
664.284851,1.502735,0
667.852844,1.502607,0
671.45929,1.50248,0
675.104919,1.502354,0
678.790405,1.502228,0
682.516357,1.502103,0
686.283386,1.501979,0
690.092285,1.501855,0
693.943665,1.501733,0
697.838257,1.501611,0
701.776855,1.501489,0
705.760132,1.501368,0
709.78894,1.501248,0
713.863892,1.501129,0
717.985962,1.50101,0
722.155884,1.500892,0
726.374634,1.500775,0
730.642883,1.500658,0
734.961548,1.500542,0
739.331665,1.500427,0
743.754028,1.500312,0
748.229614,1.500198,0
752.759399,1.500085,0
757.344299,1.499972,0
761.985474,1.49986,0
766.683838,1.499749,0
771.440552,1.499639,0
776.256592,1.499529,0
781.133179,1.49942,0
786.071411,1.499311,0
791.07251,1.499203,0
796.137573,1.499096,0
801.268005,1.49899,0
806.464966,1.498884,0
811.729736,1.498779,0
817.063721,1.498675,0
822.468262,1.498571,0
827.944824,1.498468,0
833.494751,1.498366,0
839.119629,1.498264,0
844.820923,1.498163,0
850.600281,1.498063,0
856.459167,1.497963,0
862.399292,1.497864,0
868.422485,1.497766,0
874.530396,1.497669,0
880.724792,1.497572,0
887.007629,1.497476,0
893.380676,1.49738,0
